JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer_Code,Comment_Code(s),Comp_Star_1,Comp_Star_2,Charts,Comments,Transfomed,Airmass,Validation_Flag,Cmag,Kmag,HJD,Star_Name,Observer_Affiliation,Measurement_Method,Grouping_Method,ADS_Reference,Digitizer,Credit
2459710.34485,13.533,0.009,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.052,Z,,14.967,,XM116HT,MCSE,STD,,,,
2459710.34561,13.521,0.008,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.051,Z,,14.939,,XM116HT,MCSE,STD,,,,
2459710.34637,13.496,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.050,Z,,14.958,,XM116HT,MCSE,STD,,,,
2459710.34713,13.528,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.049,Z,,14.971,,XM116HT,MCSE,STD,,,,
2459710.34788,13.569,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.048,Z,,14.960,,XM116HT,MCSE,STD,,,,
2459710.34864,13.515,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.047,Z,,14.965,,XM116HT,MCSE,STD,,,,
2459710.34940,13.549,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.046,Z,,15.039,,XM116HT,MCSE,STD,,,,
2459710.349688,13.721,0.015,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.119,Z,17.303,18.487,,TCP J14225968+4122545,VVS,STD,,,,
2459710.35016,13.524,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.045,Z,,14.885,,XM116HT,MCSE,STD,,,,
2459710.35092,13.518,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.044,Z,,14.938,,XM116HT,MCSE,STD,,,,
2459710.35168,13.491,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.043,Z,,14.933,,XM116HT,MCSE,STD,,,,
2459710.351875,13.731,0.013,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.114,Z,17.300,18.480,,TCP J14225968+4122545,VVS,STD,,,,
